name,location,country,address,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,company
von der Weid Nicolas,Basel,Switzerland,Universitäts- Kinderspital (UKBB) Medizin Onkologie Spitalstrasse 33,,,,,,800.00 CHF,,800.00 CHF,hcp,Sanofi Aventis
AerzteNetzwerk Grauholz,Urtenen-Schönbühl,Switzerland,Solothurnstrasse 43,,,,,,864.00 CHF,,864.00 CHF,hco,Sanofi Aventis
Clinica Luganese SA,Lugano,Switzerland,Via Moncucco 10,,,,,2800.00 CHF,,,2800.00 CHF,hco,Sanofi Aventis
Hirslanden Klinik St. Anna,Luzern,Switzerland,St.-Anna-Str. 32,,,,422.78 CHF,564.76 CHF,,,987.54 CHF,hco,Sanofi Aventis
IGOMED,Thun,Switzerland,Goldwilstrasse 36 a,,,,,,3240.00 CHF,,3240.00 CHF,hco,Sanofi Aventis
KANTONSSPITAL GLARUS AG,Glarus,Switzerland,Burgstr. 99,,,,,,1000.00 CHF,,1000.00 CHF,hco,Sanofi Aventis
Kantonspital Winterthur,Winterthur,Switzerland,Brauerstr. 15,,,2930.00 CHF,,,1080.00 CHF,,4010.00 CHF,hco,Sanofi Aventis
Kantonsspital Aarau AG,AARAU,Switzerland,Tellstrasse 25,,,38982.41 CHF,,,8100.00 CHF,7515.10 CHF,54597.51 CHF,hco,Sanofi Aventis
Kantonsspital Baselland Laufen,Liestal,Switzerland,Mühlemattstrasse 26,,,500.00 CHF,,,1250.00 CHF,,1750.00 CHF,hco,Sanofi Aventis
Kantonsspital St. Gallen,St. Gallen,Switzerland,Rorschacher Strasse 95,,40000.00 CHF,,,,,,40000.00 CHF,hco,Sanofi Aventis
Praxis Villiger & DiaMon AG - Aerztezentrum Täfernhof,Baden-Dättwil,Switzerland,Mellingerstr. 207,,,500.00 CHF,,,1200.00 CHF,,1700.00 CHF,hco,Sanofi Aventis
SGKN - Schweizerische Gesellschaft für kli,OBERENTFELDEN,Switzerland,Blumenweg 13,,,8500.00 CHF,,,,,8500.00 CHF,hco,Sanofi Aventis
SIOG International Society of Geriatric Oncology,Geneva,Switzerland,"1-5, route des Morillons PO Box 2100",,,59556.00 CHF,,,,,59556.00 CHF,hco,Sanofi Aventis
Schweizerische Gesellschaft für - Kardiologie,BERN,Switzerland,Schwarztorstrasse 18,,,2000.00 CHF,,,,,2000.00 CHF,hco,Sanofi Aventis
See-Spital Standort Horgen - Innere Medizin,Horgen 1,Switzerland,Asylstr. 19,,,,,,1500.00 CHF,,1500.00 CHF,hco,Sanofi Aventis
Spital Netz Bern AG,Bern,Switzerland,Morillionstr. 77,,,,,,3000.00 CHF,,3000.00 CHF,hco,Sanofi Aventis
Spital Schwyz,Schwyz,Switzerland,Waldeggstr. 10,,,6555.55 CHF,,,,,6555.55 CHF,hco,Sanofi Aventis
Spital Thurgau AG,Frauenfeld,Switzerland,Waldeggstr. 8,,,1680.00 CHF,,,2160.00 CHF,,3840.00 CHF,hco,Sanofi Aventis
Swiss Association of Pharmaceutical - Professionals SwAPP,Bern,Switzerland,P.O.box,,,,,,1000.00 CHF,,1000.00 CHF,hco,Sanofi Aventis
Universität Zürich - Rheumaklinik,Zurich,Switzerland,Gloriastr. 25,,,10000.00 CHF,,,,,10000.00 CHF,hco,Sanofi Aventis
