,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,parent,concat,r_name,r_location,r_address,r_ratio
205,Kenes International Organizers Of Congresses Ltd,Genève,CH,Rue François-Versonnex 7,,,,169883.65,,,,,169883.65,hco,shire,rue francois-versonnex 7,geneve,205,Kenes International Organizers Of Congresses Ltd geneve,38,13,47,98
206,Kinderspital Zürich,Zürich,CH,Steinwiesstrasse 75,,,39759.0,444.4,,4839.0,,,45042.4,hco,shire,steinwiesstrasse 75,zuerich,213,Kinderspital Zürich zuerich,30,12,40,82
15,Klinik Bethesda,Tschugg,CH,Oberdorf,,,,1000.0,,,,,1000.0,hco,almirall,oberdorf,tschugg,15,Klinik Bethesda tschugg,27,12,18,57
207,Klinik für Frauenheilkunde:Inselspital Bern,Bern,CH,Effingerstrasse 102,,,,2500.0,,,,,2500.0,hco,shire,effingerstrasse 102,bern,191,Klinik für Frauenheilkunde:Inselspital Bern bern,36,31,40,107
208,Klinik für Immunologie:UniversitätsSpital Zürich,Zürich,CH,Gloriastrasse 23,,,,621.09,,1098.46,,,1719.55,hco,shire,gloriastrasse 23,zuerich,160,Klinik für Immunologie:UniversitätsSpital Zürich zuerich,32,12,42,86
16,Lenker Woche,Zweisimmen,CH,Karl Haueterstrasse,,,,4000.0,,,,,4000.0,hco,almirall,karl haueterstrasse,zweisimmen,16,Lenker Woche zweisimmen,29,11,44,84
102,Luzerner Kantonsspital Luzern,Luzern,CH,Spitalstrasse,,,,3400.0,,,800.0,,4200,hco,eli,spitalstrasse,luzern,17,Luzerner Kantonsspital Luzern luzern,46,13,37,96
17,Luzerner Kantonsspital Luzern,Luzern,CH,Spitalstrasse,,,,4320.0,,,,,4320.0,hco,almirall,spitalstrasse,luzern,209,Luzerner Kantonsspital Luzern luzern,46,13,37,96
209,Luzerner Kantonsspital Luzern,Luzern,CH,Spitalstrasse,,,8000.0,,,,1312.0,,9312.0,hco,shire,spitalstrasse,luzern,102,Luzerner Kantonsspital Luzern luzern,46,13,37,96
18,Luzerner Kantonsspital Luzern - Neurologie und Neuroreha,Luzern,CH,Spitalstrasse 4,,,,1620.0,,,,,1620.0,hco,almirall,spitalstrasse 4,luzern,102,Luzerner Kantonsspital Luzern - Neurologie und Neuroreha luzern,42,13,39,94
19,Luzerner Kantonsspital Sursee,Sursee,CH,Spitalstrasse 16a,,,,1000.0,,,,,1000.0,hco,almirall,spitalstrasse 16a,sursee,19,Luzerner Kantonsspital Sursee sursee,43,13,42,98
103,Maison FXB du Sauvetage,Sion,CH,Route De L'aéroport 60,,,,750.0,,,,,750,hco,eli,route de l'aeroport 60,sion,103,Maison FXB du Sauvetage sion,31,0,31,62
105,Medical Center im Waldhotel Bürgenstock Hotels AG,Bürgenstock,CH," Resort,  30",,,,2500.0,,,,,2500,hco,eli,resort 30,buergenstock,105,Medical Center im Waldhotel Bürgenstock Hotels AG buergenstock,38,29,27,94
104,Médecins de Famille Genève,Genève,CH,Rue du Conseil- Général 11,,,,2000.0,,,,,2000,hco,eli,rue du conseil general 11,geneve,104,Médecins de Famille Genève geneve,33,13,39,85
210,Münsterlingen Kantonsspital (SPITAL THURGAU AG),Münsterlingen,CH,Spitalcampus 1,,,,,,,1500.0,40.0,1540.0,hco,shire,spitalcampus 1,muensterlingen,210,Münsterlingen Kantonsspital (SPITAL THURGAU AG) muensterlingen,40,17,28,85
106,NOMAD Aide et soins à domicile,La Chaux-de-Fonds,CH,Rue Du Pont,,,,741.0,,,,,741,hco,eli,rue du pont,la chaux-de-fonds,106,NOMAD Aide et soins à domicile la chaux-de-fonds,28,31,26,85
107,Onkologiepflege Schweiz,Kleinandelfingen,CH,Hirstigstrasse 13,,,,3245.0,,,,,3245,hco,eli,hirstigstrasse 13,kleinandelfingen,107,Onkologiepflege Schweiz kleinandelfingen,31,24,42,97
211,Onkozentrum Zürich Privatklinik Hirslanden,Zürich,CH,Seestrasse 259,,,,,,,900.0,,900.0,hco,shire,seestrasse 259,zuerich,211,Onkozentrum Zürich Privatklinik Hirslanden zuerich,36,12,36,84
108,Ordre Neuchâtelois des Pharmaciens,Neuchâtel,CH,"c/o Chambre du commerce, Rue de la Serre 4",,,,3453.0,,,,,3453,hco,eli,centreo chambre du commerce rue de la serre 4,neuchatel,108,Ordre Neuchâtelois des Pharmaciens neuchatel,35,11,35,81
109,Ospedale Bellinzona e Valli EOC - Dermatologia e allergologia,Bellinzona,CH,"Ospedale San Giovanni, Via Ospedale",,,,750.0,,,,,750,hco,eli,ospedale san giovanni via ospedale,bellinzona,109,Ospedale Bellinzona e Valli EOC - Dermatologia e allergologia bellinzona,34,21,30,85
110,Ospedale Regionale di Lugano - Chirurgia vascolare,Lugano,CH,"OspedaleCivico, Via Tesserete 46",,,,800.0,,,,,800,hco,eli,ospedalecivico via tesserete 46,lugano,112,Ospedale Regionale di Lugano - Chirurgia vascolare lugano,38,27,36,101
111,Ospedale Regionale di Lugano - Medicina Interna,Lugano,CH,"OspedaleCivico, Via Tesserete 46",,,,2130.0,,,,,2130,hco,eli,ospedalecivico via tesserete 46,lugano,112,Ospedale Regionale di Lugano - Medicina Interna lugano,44,27,36,107
112,Ospedale Regionale di Lugano / Sede Civico,Lugano,CH,Via Tesserete 46,,,,2000.0,,,,,2000,hco,eli,via tesserete 46,lugano,112,Ospedale Regionale di Lugano / Sede Civico lugano,39,27,31,97
113,Osteoclub Ticino,Lugano,CH,"Clinica Luganese Moncucco, Soldini,via",,,,1000.0,,,,,1000,hco,eli,clinica luganese moncucco soldinivia,lugano,113,Osteoclub Ticino lugano,27,27,28,82
114,Osteoporoseplattf orm SGR,Zürich,CH,Bellariastrasse 38,,,,15093.0,,,,,15093,hco,eli,bellariastrasse 38,zuerich,114,Osteoporoseplattf orm SGR zuerich,33,12,41,86
212,Ostschweizer Kinderspital,St. Gallen,CH,Claudiusstrasse 6,,,,,,1173.2,,,1173.2,hco,shire,claudiusstrasse 6,saint gallen,212,Ostschweizer Kinderspital saint gallen,36,29,42,107
116,PEZZ Pädiatrisch- Endokrinologisch es Zentrum Zürich,Zürich,CH,Möhrlistrasse 69,,,,,,,2400.0,,2400,hco,eli,moehrlistrasse 69,zuerich,116,PEZZ Pädiatrisch- Endokrinologisch es Zentrum Zürich zuerich,35,12,38,85
119,PMB (Pochi Ma Buoni),Riva San Vitale,CH,Via alle Pianche 5,,,,700.0,,,,,700,hco,eli,via alle pianche 5,riva san vitale,119,PMB (Pochi Ma Buoni) riva san vitale,22,33,37,92
117,Pharmashop SARL,Cologny,CH,Chemin du Joran 9,,,,400.0,,,,,400,hco,eli,chemin du joran 9,cologny,117,Pharmashop SARL cologny,27,12,30,69
118,PizolCare AG,Mels,CH,Flurstrasse 12,,,,2000.0,,,,,2000,hco,eli,flurstrasse 12,mels,118,PizolCare AG mels,25,0,44,69
120,Psychiatrische Universitätsklinik Zürich,Zürich,CH,Lenggstrasse 31,,,,4000.0,,,,,4000,hco,eli,lenggstrasse 31,zuerich,120,Psychiatrische Universitätsklinik Zürich zuerich,30,12,47,89
115,"Pädiatrische Endokrinologie, Diabetologie & Stoffwechsel",Bern,CH,Freiburgstrasse 18,,,,5000.0,,,,,5000,hco,eli,freiburgstrasse 18,bern,187,"Pädiatrische Endokrinologie, Diabetologie & Stoffwechsel bern",34,31,41,106
213,Pädiatrische Immunologie Kinderspital Zürich,Zürich,CH,August Forel Straße 7,,,,367.2,,1196.0,,,1563.2,hco,shire,august forel strasse 7,zuerich,213,Pädiatrische Immunologie Kinderspital Zürich zuerich,31,12,48,91
121,REMED Association des médecins travaillant en Réseau,Genève,CH,c/o Dr. Florence Emery,,,,2000.0,,,,,2000,hco,eli,centreoffice doctor florence emery,geneve,121,REMED Association des médecins travaillant en Réseau geneve,37,13,31,81
20,Reha Rheinfelden,Rheinfelden,CH,Salinenstrasse 98,,,,1500.0,,,,,1500.0,hco,almirall,salinenstrasse 98,rheinfelden,20,Reha Rheinfelden rheinfelden,42,10,45,97
123,Rheuma Schweiz,Zürich,CH,Aargauerstrasse 250,,,,50000.0,,,,,50000,hco,eli,aargauerstrasse 250,zuerich,123,Rheuma Schweiz zuerich,24,12,40,76
124,Rheumakränzli Zentralschweiz,Meggen,CH,Mättelistrasse 7,,,,2000.0,,,,,2000,hco,eli,maettelistrasse 7,meggen,124,Rheumakränzli Zentralschweiz meggen,32,13,42,87
33,Roche Pharma Schweiz AG,Reinach BL,CH,Schönmattstrasse 2,,,,2000.0,,,,,2000.0,hco,almirall,schoenmattstrasse 2,reinach bulvari,33,Roche Pharma Schweiz AG reinach bulvari,34,42,40,116
122,Réseau Santé Balcon du Jura vaudois,Ste Croix,CH,Rue des Rosiers 29,,,,3800.0,,,,,3800,hco,eli,rue des rosiers 29,sainte croix,122,Réseau Santé Balcon du Jura vaudois sainte croix,38,19,37,94
125,S. Grasso Consulting,Lindau,CH,Fischeracherstra sse 17,,,,9700.0,,,,,9700,hco,eli,fischeracherstra sse 17,lindau,125,S. Grasso Consulting lindau,33,27,41,101
126,SAKK Schweizerische Arbeitsgemeinsc haft für Klinische Krebsforschung,Bern,CH,Effingerstrasse 33,,,,11500.0,,,,,11500,hco,eli,effingerstrasse 33,bern,214,SAKK Schweizerische Arbeitsgemeinsc haft für Klinische Krebsforschung bern,37,31,37,105
127,SAMO Swiss Academy of Multidisciplinary Oncology - Geschäftsstelle,Bern,CH,"c/o IBCSG Coordinating Center, Effingerstrasse 40",,,,11000.0,,,,,11000,hco,eli,cob ibcsg coordinating center effingerstrasse 40,bern,214,SAMO Swiss Academy of Multidisciplinary Oncology - Geschäftsstelle bern,28,31,36,95
136,SCQM Foundation Swiss Clinical Quality Management in Rheumatic Diseases,Zürich,CH,Aargauerstrasse 250,,,,,,,55100.0,,55100,hco,eli,aargauerstrasse 250,zuerich,136,SCQM Foundation Swiss Clinical Quality Management in Rheumatic Diseases zuerich,30,12,40,82
21,SGDV,Bern,CH,Dalmazirain 11,,,,9000.0,,,,,9000.0,hco,almirall,dalmazirain 11,bern,132,SGDV bern,15,31,32,78
219,SGH (Schweizer Hirnschlaggesellschaft),Münsingen,CH,Postfach,1085,,,5000.0,,,,,5000.0,hco,shire,postfach,muensingen,219,SGH (Schweizer Hirnschlaggesellschaft) muensingen,39,11,14,64
220,SGKN Schweizerische Gesellschaft Für Klinische Neurophysiologie,Oberentfelden,CH,Blumenweg,,,,1200.0,,,,,1200.0,hco,shire,blumenweg,oberentfelden,220,SGKN Schweizerische Gesellschaft Für Klinische Neurophysiologie oberentfelden,33,18,18,69
222,SSAI-Schweizer Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstraße 20,,,,6750.0,,,,,6750.0,hco,shire,scheibenstrasse 20,bern,218,SSAI-Schweizer Gesellschaft für Allergologie und Immunologie bern,34,31,41,106
214,Sakk Koordinationszentrum (Schweizeriesche Arbeitgemeinschaft für Klinische Krebsforschung),Bern,CH,Effingerstrasse,,,,5000.0,,,,,5000.0,hco,shire,effingerstrasse,bern,134,Sakk Koordinationszentrum (Schweizeriesche Arbeitgemeinschaft für Klinische Krebsforschung) bern,35,31,35,101
128,Schweiz. Vereinig. gegen die Osteoporose/Ass oc. Suisse contre l'Ostéoporose,Basel,CH,Missionsstrasse 24,,,,3000.0,,,,,3000,hco,eli,missionsstrasse 24,basel,128,Schweiz. Vereinig. gegen die Osteoporose/Ass oc. Suisse contre l'Ostéoporose basel,35,29,37,101
129,Schweizerische Fachgesellschaft ADHS,Büren an der Aare,CH,Mühlematt 11,,,,1000.0,,,,,1000,hco,eli,muehlematt 11,bueren an der aare,129,Schweizerische Fachgesellschaft ADHS bueren an der aare,33,22,29,84
130,Schweizerische Ges. für Rheumatologie - Société suisse de Rhumatologie,Zürich,CH,Josefstrasse 92,,,,51626.0,,,,,51626,hco,eli,josefstrasse 92,zuerich,34,Schweizerische Ges. für Rheumatologie - Société suisse de Rhumatologie zuerich,32,12,35,79
215,Schweizerische Gesellschaft Für Hämatologie,Zürich,CH,Bahnhofplatz 4,,,,8500.0,,,,,8500.0,hco,shire,bahnhofplatz 4,zuerich,131,Schweizerische Gesellschaft Für Hämatologie zuerich,34,12,28,74
131,Schweizerische Gesellschaft für Arzneimittelsicher heit in der Psychiatrie,Zürich,CH,Stadelhoferstrass e 42,,,,1000.0,,,,,1000,hco,eli,stadelhoferstrass e 42,zuerich,34,Schweizerische Gesellschaft für Arzneimittelsicher heit in der Psychiatrie zuerich,40,12,34,86
132,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,90065.0,,,50000.0,,140065,hco,eli,dalmazirain 11,bern,132,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV) bern,40,31,32,103
133,Schweizerische Gesellschaft für Pathologie,Oberkirch LU,CH,Burghöhe 1,,,,126.0,,,,,126,hco,eli,burghoehe 1,oberkirch lu,133,Schweizerische Gesellschaft für Pathologie oberkirch lu,34,19,30,83
134,Schweizerische Gesellschaft für Psychoonkologie,Bern,CH,"c/o Krebsliga Schweiz, Effingerstrasse",,,,2000.0,,,,,2000,hco,eli,cob krebsliga schweiz effingerstrasse,bern,126,Schweizerische Gesellschaft für Psychoonkologie bern,32,31,38,101
34,Schweizerische MS Gesellschaft,Zürich,CH,Josefstrasse 129,,,,20000.0,,,,,20000.0,hco,almirall,josefstrasse 129,zuerich,215,Schweizerische MS Gesellschaft zuerich,36,12,38,86
135,Schweizerischer Verband Medizinischer Praxisassistentin nen,Bern,CH,Monbijoustrasse 35,,,,2352.0,,,,,2352,hco,eli,monbijoustrasse 35,bern,135,Schweizerischer Verband Medizinischer Praxisassistentin nen bern,40,31,33,104
216,Schweizerisches Haemophilie Netzwerk,Zürich,CH,Steinwiesstrasse 75,,,18000.0,,,,,,18000.0,hco,shire,steinwiesstrasse 75,zuerich,167,Schweizerisches Haemophilie Netzwerk zuerich,36,12,40,88
217,Service de Chirurgie Pédiatrique:CHUV,Lausanne,CH,Rue Du Bugnon 46,,,,654.8,,2947.86,,,3602.66,hco,shire,rue du bugnon 46,lausanne,2,Service de Chirurgie Pédiatrique:CHUV lausanne,33,24,27,84
218,Sgai Schweiz. Gesellschaft Für Allergologie Und Immunologie,Bern,CH,Scheibenstrasse 20,,,,13500.0,,,,,13500.0,hco,shire,scheibenstrasse 20,bern,218,Sgai Schweiz. Gesellschaft Für Allergologie Und Immunologie bern,32,31,41,104
221,Sion Hôpital régional,Sion,CH,Avenue du Grand-Champsec 80,,,,500.0,,,,,500.0,hco,shire,avenue du grand-champsec 80,sion,221,Sion Hôpital régional sion,33,0,35,68
138,Société Neuchâteloise de Médecine SNM,Couvet,CH,"Péquignot et Schwab avocats, Grand'Rue 36B",,,,5000.0,,,,,5000,hco,eli,pequignot etage schwab avocats grand rue 36b,couvet,138,Société Neuchâteloise de Médecine SNM couvet,26,0,40,66
140,Société Suisse d'Endocrinologie et de Diabétologie Pédiatrique,Genève,CH,"c/o Hôpitaux Univérsit. , Rue Willy-Donzé 6",,,,2500.0,,,,,2500,hco,eli,centreo hopitaux universit rue willy-donze 6,geneve,140,Société Suisse d'Endocrinologie et de Diabétologie Pédiatrique geneve,30,13,32,75
139,Société Suisse de Pédiatrie - Schweizerische Gesellschaft für Pädiatrie,Fribourg,CH,Rue de l'Hôpital 15,,,,1800.0,,,,,1800,hco,eli,rue de l'hopital 15,fribourg,139,Société Suisse de Pédiatrie - Schweizerische Gesellschaft für Pädiatrie fribourg,33,35,36,104
141,Société Valaisanne de Pharmacie,Granges VS,CH,Rue de Robinson 43,,,,2000.0,,,,,2000,hco,eli,rue de robinson 43,granges medio campidano,141,Société Valaisanne de Pharmacie granges medio campidano,34,38,30,102
137,Société coopérative médicale Beaulieu,Genève,CH,Chemin de Beau- Soleil 20,,,,2000.0,,,,,2000,hco,eli,chemin de beau soleil 20,geneve,137,Société coopérative médicale Beaulieu geneve,29,13,33,75
142,Solothurner Spitäler AG soH,Solothurn,CH,Schöngrünstrass e 42,,,,,,,800.0,,800,hco,eli,schoengruenstrass e 42,solothurn,142,Solothurner Spitäler AG soH solothurn,32,11,38,81
22,Spital Herisau,Herisau,CH,Spitalstrasse 6,,,,540.0,,,,,540.0,hco,almirall,spitalstrasse 6,herisau,143,Spital Herisau herisau,24,25,39,88
143,Spital Herisau Appenzell Ausserrhoden,Herisau,CH,Spitalstrasse 6,,,,800.0,,,,,800,hco,eli,spitalstrasse 6,herisau,143,Spital Herisau Appenzell Ausserrhoden herisau,38,25,39,102
23,Spital Lachen AG,Lachen SZ,CH,Oberdorfstrasse 41,,,,1500.0,,,,,1500.0,hco,almirall,oberdorfstrasse 41,lachen sz,23,Spital Lachen AG lachen sz,31,33,41,105
144,Spital Thun - STS AG,Thun,CH,Krankenhausstra sse 12,,,,,,,360.0,,360,hco,eli,krankenhausstra sse 12,thun,144,Spital Thun - STS AG thun,30,0,48,78
145,Spital Thurgau AG - Geschäftsstelle,Frauenfeld,CH,"c/o Spital Thurgau AG, Haus Ermo, Waldeggstrasse 8a",,,,2000.0,,,,,2000,hco,eli,cob spital thurgau ag haus ermo waldeggstrasse 8a,frauenfeld,145,Spital Thurgau AG - Geschäftsstelle frauenfeld,32,21,40,93
146,Spital Wil - Notfallstation,Wil SG,CH,Fürstenlandstras se 32,,,,2000.0,,,,,2000,hco,eli,fuerstenlandstras se 32,wil sargento segundo,146,Spital Wil - Notfallstation wil sargento segundo,36,21,41,98
223,Stiftung Forschung Gastro/Hep.,Zürich,CH,Rämistrasse 100,,,,2500.0,,,,,2500.0,hco,shire,raemistrasse 100,zuerich,223,Stiftung Forschung Gastro/Hep. zuerich,31,12,42,85
148,Stiftung SONK,St. Gallen,CH,"c/o Tumor- u. Brustzentrum ZeTuP, Rorschacher Strasse 150",,,,4532.0,,,,,4532,hco,eli,cob tumor u brustzentrum zetup rorschacher strasse 150,saint gallen,148,Stiftung SONK saint gallen,29,29,49,107
224,Stiftung für Wissenschaftliche Forschung (SfwF) am Statdtspital Triemli,Zürich,CH,Birmensdorferstrasse 497,,,,1600.0,,,,,1600.0,hco,shire,birmensdorferstrasse 497,zuerich,147,Stiftung für Wissenschaftliche Forschung (SfwF) am Statdtspital Triemli zuerich,31,12,43,86
147,Stiftung für wissenschaftliche Forschung am Stadtspital Triemli,Zürich,CH,Birmensdorferstr asse 497,,,,11000.0,,,,,11000,hco,eli,birmensdorferstr asse 497,zuerich,235,Stiftung für wissenschaftliche Forschung am Stadtspital Triemli zuerich,33,12,36,81
149,Stiftung und Fonds Inselspital,Bern,CH,Freiburgstrasse 4,,,,3000.0,,,,,3000,hco,eli,freiburgstrasse 4,bern,150,Stiftung und Fonds Inselspital bern,36,31,38,105
150,Stiftung und Fonds Inselspital,Bern,CH,Freiburgerstrasse 18,,,,25900.0,,,6100.0,,32000,hco,eli,freiburgerstrasse 18,bern,191,Stiftung und Fonds Inselspital bern,36,31,43,110
225,Swiss Tumor Institute,Zürich,CH,Seefeldstrasse,,,,4200.0,,,,,4200.0,hco,shire,seefeldstrasse,zuerich,151,Swiss Tumor Institute zuerich,28,12,32,72
152,Symporg SA,Genève,CH,Rue Rousseau 30,,,,3000.0,,,,,3000,hco,eli,rue rousseau 30,geneve,152,Symporg SA geneve,26,13,31,70
153,Symposiumsvere in für Gynäkologen und Allgemeinmedizin er,Zug,CH,Baarerstrasse 75,,,,1500.0,,,,,1500,hco,eli,baarerstrasse 75,zug,153,Symposiumsvere in für Gynäkologen und Allgemeinmedizin er zug,35,17,42,94
226,The Excellence in Pediatrics Institute,Morges,CH,Rue des Vignerons 1A,,,22070.4,,,,,,22070.4,hco,shire,rue des vignerons 1a,morges,226,The Excellence in Pediatrics Institute morges,32,27,43,102
154,Universitäre Psychiatrische Dienste Bern (UPD),Bern,CH,Bolligenstrasse 111,,,,4348.0,,,,,4348,hco,eli,bolligenstrasse 111,bern,154,Universitäre Psychiatrische Dienste Bern (UPD) bern,35,31,44,110
155,Universität Bern - Institut für Pharmakologie,Bern,CH,Freiburgstrasse 18,,,,1000.0,,,,,1000,hco,eli,freiburgstrasse 18,bern,192,Universität Bern - Institut für Pharmakologie bern,39,31,41,111
227,Universität St. Gallen,St. Gallen,CH,Dufourstrasse 40 A,,,,50000.0,,,,,50000.0,hco,shire,dufourstrasse 40 allee,saint gallen,227,Universität St. Gallen saint gallen,36,29,41,106
156,Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,23000.0,,,6550.0,,29550,hco,eli,raemistrasse 71,zuerich,231,Universität Zürich (UZH) zuerich,29,12,43,84
228,Universitäts-Kinderspital Basel,Basel,CH,Spitalstrasse 33,,,10000.0,,,587.56,,,10587.56,hco,shire,spitalstrasse 33,basel,158,Universitäts-Kinderspital Basel basel,42,29,38,109
231,UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,65000.0,16812.78,,2130.2,3000.0,,86942.98,hco,shire,raemistrasse 100,zuerich,161,UniversitätsSpital Zürich zuerich,31,12,42,85
26,UniversitätsSpital Zürich - Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,,6048.0,,,,,6048.0,hco,almirall,gloriastrasse 31,zuerich,159,UniversitätsSpital Zürich - Dermatologische Klinik zuerich,34,12,46,92
159,UniversitätsSpital Zürich - Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,,16000.0,,,,,16000,hco,eli,gloriastrasse 31,zuerich,230,UniversitätsSpital Zürich - Dermatologische Klinik zuerich,34,12,46,92
27,UniversitätsSpital Zürich - European Dermatology Forum,Zürich,CH,Gloriastrasse 31,,,,26817.42,,,,,26817.42,hco,almirall,gloriastrasse 31,zuerich,230,UniversitätsSpital Zürich - European Dermatology Forum zuerich,35,12,46,93
160,UniversitätsSpital Zürich - Klinik für Immunologie Diagnostik Allergologie,Zürich,CH,"Universitätsspital , Gloriastrasse 23",,,,7500.0,,,,,7500,hco,eli,universitaetsspital gloriastrasse 23,zuerich,230,UniversitätsSpital Zürich - Klinik für Immunologie Diagnostik Allergologie zuerich,32,12,44,88
28,UniversitätsSpital Zürich - Klinik für Neurologie,Zürich,CH,Frauenklinikstra sse 26,,,,1080.0,,,,,1080.0,hco,almirall,frauenklinikstra sse 26,zuerich,231,UniversitätsSpital Zürich - Klinik für Neurologie zuerich,35,12,37,84
161,UniversitätsSpital Zürich - Klinik und Poliklinik für Innere Medizin,Zürich,CH,Rämistrasse 100,,,,2950.0,,,,,2950,hco,eli,raemistrasse 100,zuerich,230,UniversitätsSpital Zürich - Klinik und Poliklinik für Innere Medizin zuerich,30,12,42,84
162,UniversitätsSpital Zürich - Rheumaklinik und Institut für Physikalische Medizin,Zürich,CH,Gloriastrasse 25,,,,13000.0,,,,,13000,hco,eli,gloriastrasse 25,zuerich,230,UniversitätsSpital Zürich - Rheumaklinik und Institut für Physikalische Medizin zuerich,29,12,42,83
229,Universitätsklinik für Nephrologie und Hypertonie; Inselspital Bern,Bern,CH,Freiburgstraße 8,,,,2500.0,,,,,2500.0,hco,shire,freiburgstrasse 8,bern,191,Universitätsklinik für Nephrologie und Hypertonie; Inselspital Bern bern,38,31,38,107
230,Universitätsspital,Zürich,CH,Gloriastrasse 31,,,,853.08,,269.37,,,1122.45,hco,shire,gloriastrasse 31,zuerich,26,Universitätsspital zuerich,26,12,46,84
157,Universitätsspital Basel,Basel,CH,Petersgraben 4,,,,5100.0,,,,,5100,hco,eli,petersgraben 4,basel,24,Universitätsspital Basel basel,37,29,32,98
158,Universitätsspital Basel,Basel,CH,Spitalstrasse 21,,,,22000.0,,,12385.0,,34385,hco,eli,spitalstrasse 21,basel,169,Universitätsspital Basel basel,37,29,42,108
24,Universitätsspital Basel - Dermatologische Poliklinik,Basel,CH,Petersgraben 4,,,,6480.0,,,,,6480.0,hco,almirall,petersgraben 4,basel,169,Universitätsspital Basel - Dermatologische Poliklinik basel,33,29,32,94
25,Universitätsspital Basel - Neurologische Poliklinik,Basel,CH,Petersgraben 4,,,,1080.0,,,,,1080.0,hco,almirall,petersgraben 4,basel,169,Universitätsspital Basel - Neurologische Poliklinik basel,33,29,32,94
232,Universitätsspital Zürich (USZ) Klinik für Immunologie,Zürich,CH,Gloriastr. 23,,,,,,,1000.0,,1000.0,hco,shire,gloriastraat 23,zuerich,208,Universitätsspital Zürich (USZ) Klinik für Immunologie zuerich,31,12,35,78
163,Université de Genève - Centre facultaire du Diabète,Genève,CH,"Bâtiment 90, Rue Michel-Servet 1",,,,1000.0,,,,,1000,hco,eli,batiment 90 rue michel-servet 1,geneve,163,Université de Genève - Centre facultaire du Diabète geneve,37,13,42,92
233,Universtitätsspital Basel Medizinische Poliklinik,Basel,CH,Petersgraben 4,,,,,,2203.91,,,2203.91,hco,shire,petersgraben 4,basel,25,Universtitätsspital Basel Medizinische Poliklinik basel,31,29,32,92
29,Verein Lunge Zürich,Zürich,CH,Wilfriedstrasse 7,,,,3758.4,,,,,3758.4,hco,almirall,wilfriedstrasse 7,zuerich,29,Verein Lunge Zürich zuerich,41,12,42,95
164,Verein Post- ADA/Endocrine,Liebefeld,CH,Waldeggstrasse 38,,,,4000.0,,,,,4000,hco,eli,waldeggstrasse 38,liebefeld,164,Verein Post- ADA/Endocrine liebefeld,46,22,42,110
30,Vereinigung Zürcher Internisten,Adliswil,CH,Felsenhofstrasse 36,,,,2160.0,,,,,2160.0,hco,almirall,felsenhofstrasse 36,adliswil,165,Vereinigung Zürcher Internisten adliswil,52,24,40,116
165,Vereinigung Zürcher Internisten - VZI,Adliswil,CH,Felsenhofstrasse 36,,,,3800.0,,,,,3800,hco,eli,felsenhofstrasse 36,adliswil,165,Vereinigung Zürcher Internisten - VZI adliswil,49,24,40,113
166,Zentralschweizer Dermatologen,Luzern,CH,"c/o Dr med Mathias Koepke, Löwengraben 14",,,,3200.0,,,,,3200,hco,eli,cob doktor der medizin mathias koepke loewengraben 14,luzern,166,Zentralschweizer Dermatologen luzern,40,13,36,89
234,Zürcher Blutspendedienst SRK,Schlieren,CH,Rütistrasse 19,,,,2000.0,,,,,2000.0,hco,shire,ruetistrasse 19,schlieren,234,Zürcher Blutspendedienst SRK schlieren,44,11,47,102
235,Zürich Triemli Stadtspital,Zürich,CH,Birmensdorferstrasse 497,,,,4500.0,,,,,4500.0,hco,shire,birmensdorferstrasse 497,zuerich,224,Zürich Triemli Stadtspital zuerich,33,12,43,88
31,doccare,Fehraltorf,CH,Im Baumgarten 1,,,,5000.0,,,,,5000.0,hco,almirall,im baumgarten 1,fehraltorf,31,doccare fehraltorf,19,21,31,71
65,eSwiss Medical & Surgical Center AG,St. Gallen,CH,Brauerstrasse 95,,,,2500.0,,,,,2500,hco,eli,brauerstrasse 95,saint gallen,65,eSwiss Medical & Surgical Center AG saint gallen,41,29,42,112
151,swiss tumor institute,Zürich,CH,Seestrasse 259,,,,4500.0,,,,,4500,hco,eli,seestrasse 259,zuerich,151,swiss tumor institute zuerich,28,12,36,76
39,Ärzteverein Werdenberg/Sarg anserland,Bad Ragaz,CH,"Venenzentrum, Hans Albrecht- Strasse 1",,,,2700.0,,,,,2700,hco,eli,venenzentrum hans albrecht strasse 1,bad ragaz,39,Ärzteverein Werdenberg/Sarg anserland bad ragaz,100,100,100,300
